GEOID,C17002e1,C17002e2,C17002e3,lowmod_pct,poverty
15000US100030101011,862,280,36,87.77,high_poverty
15000US100030101042,1051,172,89,46.57,low_poverty
15000US100030103001,962,41,14,24.88,low_poverty
15000US100030104002,909,24,28,32.78,low_poverty
15000US100030104004,789,0,8,14.12,low_poverty
15000US100030105022,1400,35,25,39.46,low_poverty
15000US100030107021,1194,204,0,74.22,high_poverty
15000US100030107024,748,0,61,23.13,low_poverty
15000US100030108001,1396,23,0,41.53,low_poverty
15000US100030110003,1033,43,13,8.76,low_poverty
15000US100030111002,1973,7,40,10.17,low_poverty
15000US100030112012,925,50,45,26.7,low_poverty
15000US100030112022,1641,51,27,31.2,low_poverty
15000US100030112041,1296,0,10,20.33,low_poverty
15000US100030112051,1279,5,14,17.32,low_poverty
15000US100030112061,1475,0,17,9.21,low_poverty
15000US100030112062,2646,9,7,12.28,low_poverty
15000US100030114001,898,0,0,10.46,low_poverty
15000US100030115002,972,127,40,32.21,low_poverty
15000US100030115003,1142,80,11,22.08,low_poverty
15000US100030116001,994,42,55,24.47,low_poverty
15000US100030116002,2304,30,14,20.22,low_poverty
15000US100030119002,852,18,7,3.89,low_poverty
15000US100030120001,814,0,26,14.69,low_poverty
15000US100030120002,1692,24,134,57.88,high_poverty
15000US100030121002,904,71,32,54.04,high_poverty
15000US100030122003,1042,13,32,21.62,low_poverty
15000US100030125003,847,62,42,46.21,low_poverty
15000US100030125004,1011,66,222,79.82,high_poverty
15000US100030127001,1545,90,56,43.28,low_poverty
15000US100030127002,643,0,35,57.5,high_poverty
15000US100030127004,691,43,201,26.01,low_poverty
15000US100030132002,856,0,0,71.43,high_poverty
15000US100030134001,654,10,24,16.11,low_poverty
15000US100030135011,1069,59,0,0,low_poverty
15000US100030135014,2280,20,0,14.89,low_poverty
15000US100030135031,2185,66,81,6.1,low_poverty
15000US100030135032,2141,14,42,19.84,low_poverty
15000US100030135033,1798,37,0,30.81,low_poverty
15000US100030136041,1303,29,23,14.67,low_poverty
15000US100030136042,1441,42,23,15.79,low_poverty
15000US100030136104,690,26,0,53.78,high_poverty
15000US100030136111,2304,0,112,38.23,low_poverty
15000US100030136113,1156,38,0,23.72,low_poverty
15000US100030136121,2539,4,0,7.77,low_poverty
15000US100030137001,957,47,20,41.9,low_poverty
15000US100030137002,2371,331,260,80.45,high_poverty
15000US100030139012,741,5,0,50,low_poverty
15000US100030139031,3297,37,17,20.26,low_poverty
15000US100030139032,1577,19,60,10.56,low_poverty
15000US100030139041,3213,78,14,18.51,low_poverty
15000US100030139042,1375,87,23,44.44,low_poverty
15000US100030139043,467,64,13,11.36,low_poverty
15000US100030139044,3045,132,203,39.24,low_poverty
15000US100030143002,2050,332,148,40,low_poverty
15000US100030145011,2005,1216,242,89.26,high_poverty
15000US100030145021,2128,1040,355,87.33,high_poverty
15000US100030147021,1975,112,13,37.95,low_poverty
15000US100030147033,2163,43,150,54.59,high_poverty
15000US100030147053,2480,54,54,47.71,low_poverty
15000US100030147061,926,18,50,37.89,low_poverty
15000US100030148053,2971,0,48,8.61,low_poverty
15000US100030148071,1685,7,0,5.9,low_poverty
15000US100030148073,2632,97,112,58.4,high_poverty
15000US100030148084,701,0,0,46.25,low_poverty
15000US100030148103,2186,142,299,47.46,low_poverty
15000US100030149031,2542,69,196,24.16,low_poverty
15000US100030149091,2215,45,339,70.15,high_poverty
15000US100030151002,722,0,47,60.95,high_poverty
15000US100030152001,1473,362,212,88.04,high_poverty
15000US100030152003,869,18,38,23.91,low_poverty
15000US100030155021,1986,214,489,72.09,high_poverty
15000US100030155022,862,0,150,29.44,low_poverty
15000US100030158022,1603,106,134,48.2,low_poverty
15000US100030159003,1357,8,9,38.54,low_poverty
15000US100030160001,3157,271,119,52.61,high_poverty
15000US100030161001,1058,68,26,26.4,low_poverty
15000US100030162001,620,0,22,29.06,low_poverty
15000US100030163011,1744,80,63,61.38,high_poverty
15000US100030163052,2189,74,0,36.9,low_poverty
15000US100030164043,939,11,225,56.98,high_poverty
15000US100030166013,5791,127,444,45.63,low_poverty
15000US100030166041,2606,168,137,54.05,high_poverty
15000US100030166081,2092,54,42,12.3,low_poverty
15000US100030166082,2533,9,0,13.5,low_poverty
15000US100030168012,1480,97,0,30.25,low_poverty
15000US100030168042,634,103,32,17.32,low_poverty
15000US100030169012,1053,2,8,35.37,low_poverty
15000US100050501011,1719,107,26,33.53,low_poverty
15000US100050501012,1772,28,202,31.21,low_poverty
15000US100050501032,1753,113,70,25.86,low_poverty
15000US100050501042,2459,0,340,22.1,low_poverty
15000US100050502002,2787,391,568,51,high_poverty
15000US100050503011,2000,10,337,23.34,low_poverty
15000US100050503012,3225,233,173,40.2,low_poverty
15000US100050503013,2469,223,226,54.61,high_poverty
15000US100050504011,2282,159,460,29.24,low_poverty
15000US100050504051,1653,24,31,13.98,low_poverty
15000US100050504061,1022,80,153,32.34,low_poverty
15000US100050504071,1440,140,39,53.18,high_poverty
15000US100050506012,1864,87,208,34.14,low_poverty
15000US100050507041,1652,84,31,41.11,low_poverty
15000US100050507051,1749,110,130,31.3,low_poverty
15000US100050507061,555,31,16,40.61,low_poverty
15000US100050507062,746,15,29,43,low_poverty
15000US100050508031,919,34,24,23.83,low_poverty
15000US100050509021,1491,43,77,26.54,low_poverty
15000US100050510031,2323,42,68,20.15,low_poverty
15000US100050510051,2678,56,58,24.27,low_poverty
15000US100050510071,1396,8,71,25.35,low_poverty
15000US100050511031,498,24,6,21.7,low_poverty
15000US100050512012,742,21,28,21.34,low_poverty
15000US100050512021,682,10,0,6.4,low_poverty
15000US100050512032,91,0,5,8.89,low_poverty
15000US100050512043,75,0,0,0,low_poverty
15000US100050512051,249,0,0,13.11,low_poverty
15000US100050513013,1729,31,18,30.16,low_poverty
15000US100050513052,476,0,18,22.45,low_poverty
15000US100050513062,514,0,43,53.93,high_poverty
15000US100050514001,2723,126,275,31.03,low_poverty
15000US100050514002,1728,176,129,53.19,high_poverty
15000US100050518021,2918,306,482,43.26,low_poverty
15000US100050518022,1393,55,148,44.09,low_poverty
15000US100050519002,2752,146,313,45.51,low_poverty
15000US100059900000,0,0,0,0,low_poverty
15000US110010001001,1405,52,20,33.78,low_poverty
15000US110010002023,887,189,25,32.87,low_poverty
15000US110010003002,1479,99,49,43.08,low_poverty
15000US110010003004,1953,115,0,31.27,low_poverty
15000US110010004001,598,45,11,12.4,low_poverty
15000US110010006003,743,50,0,8.4,low_poverty
15000US110010009022,1513,9,20,7.36,low_poverty
15000US110010010015,921,115,16,21.05,low_poverty
15000US110010010021,1259,708,128,57.71,high_poverty
15000US110010010022,1444,52,51,30.69,low_poverty
15000US110010010023,812,0,28,16.96,low_poverty
15000US110010011004,549,5,16,13.38,low_poverty
15000US110010012001,2121,71,16,34.96,low_poverty
15000US110010013011,1811,98,112,30.85,low_poverty
15000US110010013021,2375,154,120,29.89,low_poverty
15000US110010013022,4685,185,123,25.58,low_poverty
15000US110010013023,736,192,0,11.17,low_poverty
15000US110010014022,825,0,34,9.79,low_poverty
15000US110010014023,1479,184,61,27.64,low_poverty
15000US110010015005,1047,32,0,12.37,low_poverty
15000US110010016004,1871,0,23,23.66,low_poverty
15000US110010017022,1127,50,36,33.5,low_poverty
15000US110010018031,1371,35,115,39.64,low_poverty
15000US110010018032,2559,81,163,72.24,high_poverty
15000US110010019013,830,86,18,46.37,low_poverty
15000US110010019021,1560,28,168,41.31,low_poverty
15000US110010019022,679,18,9,46.67,low_poverty
15000US110010021012,975,21,235,48.67,low_poverty
15000US110010021015,1235,359,0,56,high_poverty
15000US110010021024,802,204,7,59.44,high_poverty
15000US110010021026,625,79,91,51.39,high_poverty
15000US110010022022,1090,248,47,55.09,high_poverty
15000US110010023012,2031,56,295,38.65,low_poverty
15000US110010024003,1129,292,30,58.6,high_poverty
15000US110010025012,1508,46,149,38.21,low_poverty
15000US110010025021,1118,77,128,67.41,high_poverty
15000US110010025023,2062,59,9,55.14,high_poverty
15000US110010027013,826,11,0,45.2,low_poverty
15000US110010027021,1964,72,108,39.41,low_poverty
15000US110010029002,2588,197,50,64.8,high_poverty
15000US110010032002,923,37,113,67.71,high_poverty
15000US110010033012,1159,6,82,20.73,low_poverty
15000US110010033022,985,104,29,28.1,low_poverty
15000US110010036001,1756,1,107,58.5,high_poverty
15000US110010037001,1618,34,183,77.91,high_poverty
15000US110010037003,1717,13,246,70.04,high_poverty
15000US110010038001,2521,163,96,32.79,low_poverty
15000US110010039003,1190,50,26,31.37,low_poverty
15000US110010040011,1434,44,22,23.73,low_poverty
15000US110010040013,1911,34,14,9.86,low_poverty
15000US110010040021,539,4,28,15.79,low_poverty
15000US110010040022,1590,6,31,27.11,low_poverty
15000US110010041001,1251,13,13,26.88,low_poverty
15000US110010044001,3447,175,264,44.08,low_poverty
15000US110010046002,1656,82,0,35.93,low_poverty
15000US110010047012,2772,493,324,73.23,high_poverty
15000US110010047021,2038,237,118,63.84,high_poverty
15000US110010048011,2131,39,212,39,low_poverty
15000US110010048022,2070,289,371,65.06,high_poverty
15000US110010049011,1358,179,302,72.64,high_poverty
15000US110010049021,701,78,158,86.24,high_poverty
15000US110010049022,2046,64,111,37.8,low_poverty
15000US110010050023,1263,14,395,19.37,low_poverty
15000US110010055002,2296,178,56,29.34,low_poverty
15000US110010055003,1837,306,44,24.68,low_poverty
15000US110010055004,839,199,0,37.95,low_poverty
15000US110010055005,646,150,0,20.45,low_poverty
15000US110010056004,1045,193,54,77.78,high_poverty
15000US110010058002,1809,239,122,30.29,low_poverty
15000US110010059001,2728,282,213,51.07,high_poverty
15000US110010065001,959,55,47,28.29,low_poverty
15000US110010066001,1932,30,58,27.42,low_poverty
15000US110010067003,1432,30,44,11.78,low_poverty
15000US110010068011,1327,194,65,61.15,high_poverty
15000US110010068021,783,21,26,33.72,low_poverty
15000US110010068041,120,91,23,0,low_poverty
15000US110010070002,923,30,33,22.38,low_poverty
15000US110010072001,3109,95,146,42.77,low_poverty
15000US110010072002,890,25,139,75,high_poverty
15000US110010074011,1340,417,336,91.25,high_poverty
15000US110010074062,924,319,291,97.22,high_poverty
15000US110010075021,3186,842,1019,76.51,high_poverty
15000US110010075022,1814,818,169,80,high_poverty
15000US110010075031,744,152,65,75.53,high_poverty
15000US110010075032,1868,357,656,83.97,high_poverty
15000US110010076011,538,0,101,59.68,high_poverty
15000US110010076013,1483,116,144,56.03,high_poverty
15000US110010076041,977,117,46,67.18,high_poverty
15000US110010076043,1191,97,133,77.61,high_poverty
15000US110010076051,776,30,37,57.5,high_poverty
15000US110010076052,2238,193,370,71.33,high_poverty
15000US110010078061,1002,112,143,55.87,high_poverty
15000US110010078062,1108,49,188,59.78,high_poverty
15000US110010078072,846,84,45,73.1,high_poverty
15000US110010078081,2406,372,301,91.3,high_poverty
15000US110010078082,888,42,260,74.12,high_poverty
15000US110010078091,1631,271,107,82.4,high_poverty
15000US110010079013,1567,183,191,62.18,high_poverty
15000US110010079014,1008,157,174,78.93,high_poverty
15000US110010080012,1143,46,35,28.3,low_poverty
15000US110010081001,731,0,0,18.11,low_poverty
15000US110010082001,628,12,0,27.33,low_poverty
15000US110010084021,1005,39,0,73.19,high_poverty
15000US110010088041,1021,45,82,80,high_poverty
15000US110010089032,1280,211,273,88.95,high_poverty
15000US110010089041,2097,267,233,77.78,high_poverty
15000US110010089042,1036,82,178,73.03,high_poverty
15000US110010092011,1518,200,115,65,high_poverty
15000US110010092041,861,121,37,77.92,high_poverty
15000US110010092042,2102,415,620,83.99,high_poverty
15000US110010093012,891,29,24,33.74,low_poverty
15000US110010093021,1025,2,24,40.74,low_poverty
15000US110010094001,626,24,0,38.05,low_poverty
15000US110010094003,1699,229,243,19.01,low_poverty
15000US110010095052,928,11,51,26.49,low_poverty
15000US110010095053,941,58,117,49.71,low_poverty
15000US110010095083,1427,73,34,55.36,high_poverty
15000US110010096022,1632,177,430,87.85,high_poverty
15000US110010096031,1494,98,210,67.08,high_poverty
15000US110010096032,406,0,11,29.79,low_poverty
15000US110010096041,1092,64,90,63.09,high_poverty
15000US110010097001,2351,422,333,75.2,high_poverty
15000US110010097002,670,22,186,79.59,high_poverty
15000US110010098033,885,123,210,88.39,high_poverty
15000US110010098041,1560,180,319,71.65,high_poverty
15000US110010098072,2389,392,231,63.07,high_poverty
15000US110010099022,1706,357,117,53.14,high_poverty
15000US110010099041,585,153,66,77.94,high_poverty
15000US110010099042,1559,494,104,64.17,high_poverty
15000US110010099071,747,233,21,59.28,high_poverty
15000US110010101001,1654,119,139,33.68,low_poverty
15000US110010102001,1043,13,69,29.21,low_poverty
15000US110010103002,1221,66,15,28.44,low_poverty
15000US110010103003,1304,316,202,43.22,low_poverty
15000US110010106002,3281,423,101,45.59,low_poverty
15000US110010107001,763,240,7,44.85,low_poverty
15000US110010108001,206,41,2,89.02,high_poverty
15000US110010109001,1953,613,308,86.22,high_poverty
15000US110010110002,581,18,26,16.13,low_poverty
15000US120010003011,1555,333,196,65.9,high_poverty
15000US120010003023,1312,189,118,40.38,low_poverty
15000US120010004001,955,439,124,70.73,high_poverty
15000US120010004002,965,62,51,42.68,low_poverty
15000US120010005002,718,66,64,65.83,high_poverty
15000US120010007001,555,0,70,61.29,high_poverty
15000US120010007004,2081,201,300,70.4,high_poverty
15000US120010008061,1887,641,285,81.27,high_poverty
15000US120010008082,824,130,106,87.81,high_poverty
15000US120010010001,740,63,74,14.19,low_poverty
15000US120010010002,1297,569,220,67.1,high_poverty
15000US120010010004,1894,833,179,64.65,high_poverty
15000US120010011003,1809,69,12,41.47,low_poverty
15000US120010011004,1799,37,28,14.79,low_poverty
15000US120010012031,1846,224,300,34.25,low_poverty
15000US120010012032,1867,458,140,72.26,high_poverty
15000US120010014002,785,71,197,53.64,high_poverty
15000US120010014003,540,109,150,61.82,high_poverty
15000US120010015141,797,212,107,83.7,high_poverty
15000US120010015161,1271,372,257,87.5,high_poverty
15000US120010015171,3740,2247,305,83.06,high_poverty
15000US120010016041,2336,745,191,52.33,high_poverty
15000US120010016042,664,65,19,40,low_poverty
15000US120010017011,2245,40,26,32.23,low_poverty
15000US120010018015,1179,22,44,31.47,low_poverty
15000US120010018062,3672,84,360,31.96,low_poverty
15000US120010019071,1169,79,138,18.15,low_poverty
15000US120010019073,910,154,175,36.75,low_poverty
15000US120010019083,1024,79,9,43.75,low_poverty
15000US120010019084,894,168,44,23.19,low_poverty
15000US120010020003,840,264,31,62.79,high_poverty
15000US120010020004,656,0,143,36.87,low_poverty
15000US120010021012,691,36,17,21.36,low_poverty
15000US120010022012,3631,110,211,31.18,low_poverty
15000US120010022052,2022,12,0,21.37,low_poverty
15000US120010022054,2536,361,93,27.37,low_poverty
15000US120010022091,5494,201,178,27.43,low_poverty
15000US120010022103,1873,343,226,30.56,low_poverty
15000US120010022182,1214,150,211,47.75,low_poverty
15000US120010022191,1952,168,115,67.29,high_poverty
15000US120011108001,2091,307,274,40.66,low_poverty
15000US120030401022,2378,186,641,61.9,high_poverty
15000US120030401023,1349,0,82,42.92,low_poverty
15000US120030402013,578,0,57,64.52,high_poverty
15000US120050003001,1144,168,165,53.35,high_poverty
15000US120050003002,1103,67,253,29.74,low_poverty
15000US120050003003,2434,31,76,32.61,low_poverty
15000US120050003004,2137,87,534,47.85,low_poverty
15000US120050005001,4027,99,103,24.81,low_poverty
15000US120050006001,1402,79,184,38.14,low_poverty
15000US120050008031,972,72,236,50,low_poverty
15000US120050008051,2240,115,242,34.09,low_poverty
15000US120050008061,2200,63,230,16.78,low_poverty
15000US120050012002,1345,64,45,55.02,high_poverty
15000US120050013022,1773,0,287,36.87,low_poverty
15000US120050013023,1258,54,19,32.16,low_poverty
15000US120050014022,3042,130,4,15.45,low_poverty
15000US120050014031,1354,54,75,40.74,low_poverty
15000US120050014032,970,83,219,55.32,high_poverty
15000US120050014042,907,0,74,18.29,low_poverty
15000US120050015011,2744,83,61,18.09,low_poverty
15000US120050015023,1582,51,232,54.5,high_poverty
15000US120050015024,1443,0,0,4.53,low_poverty
15000US120050019002,1184,70,50,29.47,low_poverty
15000US120050022001,1488,571,313,76.71,high_poverty
15000US120050026031,2435,232,174,53.27,high_poverty
15000US120050026041,878,79,133,39.33,low_poverty
15000US120050026042,3490,19,184,13.92,low_poverty
15000US120050026043,1950,54,93,39.08,low_poverty
15000US120050026051,361,17,25,47.37,low_poverty
15000US120050026052,676,63,47,24.81,low_poverty
15000US120050027011,2602,122,171,40.37,low_poverty
15000US120050027022,860,25,33,29.91,low_poverty
15000US120050027042,1731,45,137,21.61,low_poverty
15000US120050027053,300,11,14,35.53,low_poverty
15000US120070002002,1285,60,116,45.56,low_poverty
15000US120070002005,988,122,110,15.57,low_poverty
15000US120070003001,2104,84,310,45.1,low_poverty
15000US120070004002,1198,154,180,45.24,low_poverty
15000US120090601012,1760,93,139,54.48,high_poverty
15000US120090601013,789,161,300,42.96,low_poverty
15000US120090604003,857,76,43,40.3,low_poverty
15000US120090604004,1178,233,81,47.45,low_poverty
15000US120090606002,1917,163,180,53.27,high_poverty
15000US120090607001,1231,302,334,73.44,high_poverty
15000US120090611002,948,69,60,21.9,low_poverty
15000US120090612023,926,24,97,44.68,low_poverty
15000US120090621041,3073,62,289,23.27,low_poverty
15000US120090621042,1778,268,42,35.14,low_poverty
15000US120090621043,1834,65,42,17.74,low_poverty
15000US120090621062,1034,90,19,55.67,high_poverty
15000US120090621072,1307,184,136,81.37,high_poverty
15000US120090621083,1579,86,32,25.85,low_poverty
15000US120090621092,854,94,29,65.48,high_poverty
15000US120090623011,1932,317,227,64.71,high_poverty
15000US120090623012,985,53,440,84.62,high_poverty
15000US120090624001,1792,66,164,46.48,low_poverty
15000US120090624002,1230,144,258,51.04,high_poverty
15000US120090624004,1043,284,60,54.81,high_poverty
15000US120090625003,1801,333,467,64.41,high_poverty
15000US120090626003,1215,391,154,49.49,low_poverty
15000US120090628001,738,37,19,33.04,low_poverty
15000US120090629002,2344,159,504,33.58,low_poverty
15000US120090630001,2589,10,158,26.11,low_poverty
15000US120090631021,3915,68,473,38.84,low_poverty
15000US120090631053,1741,0,12,44.63,low_poverty
15000US120090631073,3603,66,162,10.53,low_poverty
15000US120090631074,2227,48,334,21.68,low_poverty
15000US120090641242,996,53,42,58.18,high_poverty
15000US120090641251,1733,68,10,24.31,low_poverty
15000US120090641253,1518,128,147,41,low_poverty
15000US120090641272,1431,145,52,36.15,low_poverty
15000US120090641273,720,43,78,42,low_poverty
15000US120090641281,7728,50,120,9.17,low_poverty
15000US120090641283,1808,0,295,15.84,low_poverty
15000US120090642022,671,35,106,59.87,high_poverty
15000US120090643011,2516,221,128,53,high_poverty
15000US120090643012,2716,283,317,29.68,low_poverty
15000US120090643021,2453,200,113,48.09,low_poverty
15000US120090643023,1926,11,319,51.16,high_poverty
15000US120090644001,1564,149,59,45.34,low_poverty
15000US120090646013,561,29,48,36.51,low_poverty
15000US120090646021,1114,31,16,67.32,high_poverty
15000US120090647005,358,41,36,55.67,high_poverty
15000US120090648001,1583,101,179,54.79,high_poverty
15000US120090649011,1193,22,15,16.22,low_poverty
15000US120090649022,758,17,86,87.23,high_poverty
15000US120090650213,2570,144,63,51.25,high_poverty
15000US120090650221,2755,186,161,42.94,low_poverty
15000US120090651212,746,0,0,44.31,low_poverty
15000US120090651213,854,26,113,67.76,high_poverty
15000US120090651215,1161,117,117,32.66,low_poverty
15000US120090651223,1407,202,220,72.36,high_poverty
15000US120090651242,1527,223,418,28.01,low_poverty
15000US120090652313,1267,88,75,16.17,low_poverty
15000US120090652342,1126,47,95,49.3,low_poverty
15000US120090652352,1221,76,220,73.55,high_poverty
15000US120090652353,1214,28,123,64.85,high_poverty
15000US120090652354,1570,144,364,60.43,high_poverty
15000US120090661011,1573,20,101,25.15,low_poverty
15000US120090661014,1360,7,61,25,low_poverty
15000US120090662001,715,13,97,53.28,high_poverty
15000US120090662002,1892,231,55,19.9,low_poverty
15000US120090663013,2029,192,40,19.2,low_poverty
15000US120090663023,1119,26,65,19.57,low_poverty
15000US120090664002,2113,89,258,20.99,low_poverty
15000US120090665001,1484,47,10,8.46,low_poverty
15000US120090665003,834,116,20,34.16,low_poverty
15000US120090667002,2015,25,32,27.44,low_poverty
15000US120090669001,892,0,15,0,low_poverty
15000US120090669002,1015,265,132,62.88,high_poverty
15000US120090681011,1615,207,74,56.82,high_poverty
15000US120090681012,600,49,18,50,low_poverty
15000US120090681021,1834,56,63,25.25,low_poverty
15000US120090681022,1605,109,43,33.22,low_poverty
15000US120090683001,1041,27,10,38.95,low_poverty
15000US120090683002,447,9,18,24.42,low_poverty
15000US120090683004,556,25,0,22.66,low_poverty
15000US120090684002,636,48,30,38.98,low_poverty
15000US120090685022,1107,183,190,59.82,high_poverty
15000US120090685023,603,33,10,25.45,low_poverty
15000US120090692002,886,0,40,30.21,low_poverty
15000US120090697001,1337,91,229,19.18,low_poverty
15000US120090698022,1075,145,125,61.07,high_poverty
15000US120090699021,1071,39,129,33.17,low_poverty
15000US120090711002,1416,39,86,29.01,low_poverty
15000US120090712002,2717,0,102,30.2,low_poverty
15000US120090712003,1471,18,154,29.6,low_poverty
15000US120090713011,1603,7,58,12.3,low_poverty
15000US120090713012,2922,40,20,18.48,low_poverty
15000US120090713221,3675,200,252,23.08,low_poverty
15000US120090713222,3266,83,276,49.78,low_poverty
15000US120090713223,2695,134,580,59.49,high_poverty
15000US120090713322,3491,204,811,75.9,high_poverty
15000US120090713362,1911,22,187,33.9,low_poverty
15000US120090713363,3429,343,2,56.49,high_poverty
15000US120090713374,1613,360,294,56.72,high_poverty
15000US120090713381,1569,223,68,32.7,low_poverty
15000US120090713383,4344,372,71,46.01,low_poverty
15000US120090713392,3677,387,285,36.97,low_poverty
15000US120090713404,5677,748,356,35.21,low_poverty
15000US120090714003,1660,35,387,45.8,low_poverty
15000US120099801001,0,0,0,0,low_poverty
15000US120110101021,1732,115,69,53.25,high_poverty
15000US120110101031,1360,81,58,32.51,low_poverty
15000US120110101042,1082,36,19,34.38,low_poverty
15000US120110102001,852,62,45,47.44,low_poverty
15000US120110102003,1186,12,289,55.94,high_poverty
15000US120110102006,1133,23,165,66.54,high_poverty
15000US120110103051,1050,344,98,50.84,low_poverty
15000US120110103052,1409,131,315,75.24,high_poverty
15000US120110103061,946,24,82,61.11,high_poverty
15000US120110103062,1286,93,203,63.4,high_poverty
15000US120110104011,2835,42,328,13.75,low_poverty
15000US120110104021,1131,42,83,64.9,high_poverty
15000US120110104022,2361,345,183,53.91,high_poverty
15000US120110104052,3061,269,327,63.31,high_poverty
15000US120110104053,3015,10,853,78.82,high_poverty
15000US120110104072,2201,0,21,40.29,low_poverty
15000US120110105041,2630,51,238,21.41,low_poverty
15000US120110106012,3532,32,119,16.55,low_poverty
15000US120110106013,2363,0,36,21.08,low_poverty
15000US120110106031,1615,17,203,27.09,low_poverty
15000US120110106051,2864,22,78,10.85,low_poverty
15000US120110106072,3267,207,148,58.3,high_poverty
15000US120110106073,4278,134,34,25.43,low_poverty
15000US120110106091,4099,103,165,34.23,low_poverty
15000US120110106102,365,20,21,94.74,high_poverty
15000US120110106122,3085,0,34,18.14,low_poverty
15000US120110107011,2094,246,215,54.4,high_poverty
15000US120110107023,2897,284,369,58.61,high_poverty
15000US120110110001,1630,36,23,30.5,low_poverty
15000US120110201011,2661,128,130,44.87,low_poverty
15000US120110201013,1111,36,48,67.27,high_poverty
15000US120110201032,1624,29,84,69.91,high_poverty
15000US120110201041,2431,247,181,49.1,low_poverty
15000US120110202041,2787,76,234,25.97,low_poverty
15000US120110202061,1239,99,26,24.82,low_poverty
15000US120110202071,3032,122,130,66.38,high_poverty
15000US120110203022,2539,95,125,74.05,high_poverty
15000US120110203112,574,58,63,21.54,low_poverty
15000US120110203131,4141,181,430,52.28,high_poverty
15000US120110203132,2657,331,102,47.01,low_poverty
15000US120110203172,2098,8,94,29.58,low_poverty
15000US120110203181,3654,0,72,15.37,low_poverty
15000US120110203183,1736,12,0,22.01,low_poverty
15000US120110203191,1428,0,0,24.75,low_poverty
15000US120110203192,2623,37,117,29.82,low_poverty
15000US120110203202,1963,258,145,63,high_poverty
15000US120110203221,3232,132,24,23.22,low_poverty
15000US120110203232,2049,134,273,54.97,high_poverty
15000US120110203242,3341,112,85,58.17,high_poverty
15000US120110203251,3380,194,119,44,low_poverty
15000US120110204052,3146,165,288,78.37,high_poverty
15000US120110204071,3648,375,301,55.02,high_poverty
15000US120110204091,2580,55,142,56.62,high_poverty
15000US120110204092,2667,64,52,51.27,high_poverty
15000US120110204093,1886,176,129,66.51,high_poverty
15000US120110204132,2500,262,248,60.99,high_poverty
15000US120110204133,1055,11,34,60.19,high_poverty
15000US120110204134,546,156,0,59.57,high_poverty
15000US120110204141,3631,393,103,61.77,high_poverty
15000US120110204151,1544,48,211,59.13,high_poverty
15000US120110204152,2138,49,73,33.33,low_poverty
15000US120110205022,2100,76,263,64.3,high_poverty
15000US120110301004,1090,0,29,25,low_poverty
15000US120110302032,1358,52,12,44.19,low_poverty
15000US120110303011,1336,135,283,89.97,high_poverty
15000US120110303021,991,116,83,74.17,high_poverty
15000US120110305001,2142,463,434,85.91,high_poverty
15000US120110305002,2800,482,461,78.81,high_poverty
15000US120110306002,3030,535,268,71.9,high_poverty
15000US120110307022,1538,0,0,39.45,low_poverty
15000US120110307042,2332,30,22,44.97,low_poverty
15000US120110307052,2400,110,118,58.04,high_poverty
15000US120110308011,1446,232,333,91.35,high_poverty
15000US120110308012,1403,77,366,74.38,high_poverty
15000US120110308022,2276,120,127,62.04,high_poverty
15000US120110309022,1293,96,30,21.78,low_poverty
15000US120110310012,1055,7,91,63.13,high_poverty
15000US120110310022,1136,23,170,70.83,high_poverty
