@RELATION test

@ATTRIBUTE C17002e1  NUMERIC
@ATTRIBUTE C17002e2   NUMERIC
@ATTRIBUTE C17002e3  NUMERIC
@ATTRIBUTE poverty    {low_poverty,high_poverty}

@data
467,64,13,low_poverty
3045,132,203,low_poverty
2050,332,148,low_poverty
2005,1216,242,high_poverty
2128,1040,355,high_poverty
1975,112,13,low_poverty
2163,43,150,high_poverty
2480,54,54,low_poverty
926,18,50,low_poverty
2971,0,48,low_poverty
1685,7,0,low_poverty
2632,97,112,high_poverty
701,0,0,low_poverty
2186,142,299,low_poverty
2542,69,196,low_poverty
2215,45,339,high_poverty
722,0,47,high_poverty
1473,362,212,high_poverty
869,18,38,low_poverty
1986,214,489,high_poverty
862,0,150,low_poverty
1603,106,134,low_poverty
1357,8,9,low_poverty
3157,271,119,high_poverty
1058,68,26,low_poverty
620,0,22,low_poverty
1744,80,63,high_poverty
2189,74,0,low_poverty
939,11,225,high_poverty
5791,127,444,low_poverty
2606,168,137,high_poverty
2092,54,42,low_poverty
2533,9,0,low_poverty
1480,97,0,low_poverty
634,103,32,low_poverty
1053,2,8,low_poverty
1719,107,26,low_poverty
1772,28,202,low_poverty
1753,113,70,low_poverty
2459,0,340,low_poverty
2787,391,568,high_poverty
2000,10,337,low_poverty
3225,233,173,low_poverty
2469,223,226,high_poverty
2282,159,460,low_poverty
1653,24,31,low_poverty
1022,80,153,low_poverty
1440,140,39,high_poverty
1864,87,208,low_poverty
1652,84,31,low_poverty
1749,110,130,low_poverty
555,31,16,low_poverty
746,15,29,low_poverty
919,34,24,low_poverty
1491,43,77,low_poverty
2323,42,68,low_poverty
2678,56,58,low_poverty
1396,8,71,low_poverty
498,24,6,low_poverty
742,21,28,low_poverty
682,10,0,low_poverty
91,0,5,low_poverty
75,0,0,low_poverty
249,0,0,low_poverty
1729,31,18,low_poverty
476,0,18,low_poverty
514,0,43,high_poverty
2723,126,275,low_poverty
1728,176,129,high_poverty
2918,306,482,low_poverty
1393,55,148,low_poverty
2752,146,313,low_poverty
0,0,0,low_poverty
1405,52,20,low_poverty
887,189,25,low_poverty
1479,99,49,low_poverty
1953,115,0,low_poverty
598,45,11,low_poverty
743,50,0,low_poverty
1513,9,20,low_poverty
921,115,16,low_poverty
1259,708,128,high_poverty
1444,52,51,low_poverty
812,0,28,low_poverty
549,5,16,low_poverty
2121,71,16,low_poverty
1811,98,112,low_poverty
2375,154,120,low_poverty
4685,185,123,low_poverty
736,192,0,low_poverty
825,0,34,low_poverty
1479,184,61,low_poverty
1047,32,0,low_poverty
1871,0,23,low_poverty
1127,50,36,low_poverty
1371,35,115,low_poverty
2559,81,163,high_poverty
830,86,18,low_poverty
1560,28,168,low_poverty
679,18,9,low_poverty
975,21,235,low_poverty
1235,359,0,high_poverty
802,204,7,high_poverty
625,79,91,high_poverty
1090,248,47,high_poverty
2031,56,295,low_poverty
1129,292,30,high_poverty
1508,46,149,low_poverty
1118,77,128,high_poverty
2062,59,9,high_poverty
826,11,0,low_poverty
1964,72,108,low_poverty
2588,197,50,high_poverty
923,37,113,high_poverty
1159,6,82,low_poverty
985,104,29,low_poverty
1756,1,107,high_poverty
1618,34,183,high_poverty
1717,13,246,high_poverty
2521,163,96,low_poverty
1190,50,26,low_poverty
1434,44,22,low_poverty
1911,34,14,low_poverty
539,4,28,low_poverty
1590,6,31,low_poverty
1251,13,13,low_poverty
3447,175,264,low_poverty
1656,82,0,low_poverty
2772,493,324,high_poverty
2038,237,118,high_poverty
2131,39,212,low_poverty
2070,289,371,high_poverty
1358,179,302,high_poverty
701,78,158,high_poverty
2046,64,111,low_poverty
1263,14,395,low_poverty
2296,178,56,low_poverty
1837,306,44,low_poverty
839,199,0,low_poverty
646,150,0,low_poverty
1045,193,54,high_poverty
1809,239,122,low_poverty
2728,282,213,high_poverty
959,55,47,low_poverty
1932,30,58,low_poverty
1432,30,44,low_poverty
1327,194,65,high_poverty
783,21,26,low_poverty
120,91,23,low_poverty
923,30,33,low_poverty
3109,95,146,low_poverty
890,25,139,high_poverty
1340,417,336,high_poverty
924,319,291,high_poverty
3186,842,1019,high_poverty
1814,818,169,high_poverty
744,152,65,high_poverty
1868,357,656,high_poverty
538,0,101,high_poverty
1483,116,144,high_poverty
977,117,46,high_poverty
1191,97,133,high_poverty
776,30,37,high_poverty
2238,193,370,high_poverty
1002,112,143,high_poverty
1108,49,188,high_poverty
846,84,45,high_poverty
2406,372,301,high_poverty
888,42,260,high_poverty
1631,271,107,high_poverty
1567,183,191,high_poverty
1008,157,174,high_poverty
1143,46,35,low_poverty
731,0,0,low_poverty
628,12,0,low_poverty
1005,39,0,high_poverty
1021,45,82,high_poverty
1280,211,273,high_poverty
2097,267,233,high_poverty
1036,82,178,high_poverty
1518,200,115,high_poverty
861,121,37,high_poverty
2102,415,620,high_poverty
891,29,24,low_poverty
1025,2,24,low_poverty
626,24,0,low_poverty
1699,229,243,low_poverty
928,11,51,low_poverty
941,58,117,low_poverty
1427,73,34,high_poverty
1632,177,430,high_poverty
1494,98,210,high_poverty
406,0,11,low_poverty
1092,64,90,high_poverty
2351,422,333,high_poverty
670,22,186,high_poverty
885,123,210,high_poverty
1560,180,319,high_poverty
2389,392,231,high_poverty
1706,357,117,high_poverty
585,153,66,high_poverty
1559,494,104,high_poverty
747,233,21,high_poverty
1654,119,139,low_poverty
1043,13,69,low_poverty
1221,66,15,low_poverty
1304,316,202,low_poverty
3281,423,101,low_poverty
763,240,7,low_poverty
206,41,2,high_poverty
1953,613,308,high_poverty
581,18,26,low_poverty
1555,333,196,high_poverty
1312,189,118,low_poverty
955,439,124,high_poverty
965,62,51,low_poverty
718,66,64,high_poverty
555,0,70,high_poverty
2081,201,300,high_poverty
1887,641,285,high_poverty
824,130,106,high_poverty
740,63,74,low_poverty
1297,569,220,high_poverty
1894,833,179,high_poverty
1809,69,12,low_poverty
1799,37,28,low_poverty
1846,224,300,low_poverty
1867,458,140,high_poverty
785,71,197,high_poverty
540,109,150,high_poverty
797,212,107,high_poverty
1271,372,257,high_poverty
3740,2247,305,high_poverty
2336,745,191,high_poverty
664,65,19,low_poverty
2245,40,26,low_poverty
1179,22,44,low_poverty
3672,84,360,low_poverty
1169,79,138,low_poverty
910,154,175,low_poverty
1024,79,9,low_poverty
894,168,44,low_poverty
840,264,31,high_poverty
656,0,143,low_poverty
691,36,17,low_poverty
3631,110,211,low_poverty
2022,12,0,low_poverty
2536,361,93,low_poverty
5494,201,178,low_poverty
1873,343,226,low_poverty
1214,150,211,low_poverty
1952,168,115,high_poverty
2091,307,274,low_poverty
2378,186,641,high_poverty
1349,0,82,low_poverty
578,0,57,high_poverty
1144,168,165,high_poverty
1103,67,253,low_poverty
2434,31,76,low_poverty
2137,87,534,low_poverty
4027,99,103,low_poverty
1402,79,184,low_poverty
972,72,236,low_poverty
2240,115,242,low_poverty
2200,63,230,low_poverty
1345,64,45,high_poverty
1773,0,287,low_poverty
1258,54,19,low_poverty
3042,130,4,low_poverty
1354,54,75,low_poverty
970,83,219,high_poverty
907,0,74,low_poverty
2744,83,61,low_poverty
1582,51,232,high_poverty
1443,0,0,low_poverty
1184,70,50,low_poverty
1488,571,313,high_poverty
2435,232,174,high_poverty
878,79,133,low_poverty
3490,19,184,low_poverty
1950,54,93,low_poverty
361,17,25,low_poverty
676,63,47,low_poverty
2602,122,171,low_poverty
860,25,33,low_poverty
1731,45,137,low_poverty
300,11,14,low_poverty
1285,60,116,low_poverty
988,122,110,low_poverty
2104,84,310,low_poverty
1198,154,180,low_poverty
1760,93,139,high_poverty
789,161,300,low_poverty
857,76,43,low_poverty
1178,233,81,low_poverty
1917,163,180,high_poverty
1231,302,334,high_poverty
948,69,60,low_poverty
926,24,97,low_poverty
3073,62,289,low_poverty
1778,268,42,low_poverty
1834,65,42,low_poverty
1034,90,19,high_poverty
1307,184,136,high_poverty
1579,86,32,low_poverty
854,94,29,high_poverty
1932,317,227,high_poverty
985,53,440,high_poverty
1792,66,164,low_poverty
1230,144,258,high_poverty
1043,284,60,high_poverty
1801,333,467,high_poverty
1215,391,154,low_poverty
738,37,19,low_poverty
2344,159,504,low_poverty
2589,10,158,low_poverty
3915,68,473,low_poverty
1741,0,12,low_poverty
3603,66,162,low_poverty
2227,48,334,low_poverty
996,53,42,high_poverty
1733,68,10,low_poverty
1518,128,147,low_poverty
1431,145,52,low_poverty
720,43,78,low_poverty
7728,50,120,low_poverty
1808,0,295,low_poverty
671,35,106,high_poverty
2516,221,128,high_poverty
2716,283,317,low_poverty
2453,200,113,low_poverty
1926,11,319,high_poverty
1564,149,59,low_poverty
561,29,48,low_poverty
1114,31,16,high_poverty
358,41,36,high_poverty
1583,101,179,high_poverty
1193,22,15,low_poverty
758,17,86,high_poverty
2570,144,63,high_poverty
2755,186,161,low_poverty
746,0,0,low_poverty
854,26,113,high_poverty
1161,117,117,low_poverty
1407,202,220,high_poverty
1527,223,418,low_poverty
1267,88,75,low_poverty
1126,47,95,low_poverty
1221,76,220,high_poverty
1214,28,123,high_poverty
1570,144,364,high_poverty
1573,20,101,low_poverty
1360,7,61,low_poverty
715,13,97,high_poverty
1892,231,55,low_poverty
2029,192,40,low_poverty
1119,26,65,low_poverty
2113,89,258,low_poverty
1484,47,10,low_poverty
834,116,20,low_poverty
2015,25,32,low_poverty
892,0,15,low_poverty
1015,265,132,high_poverty
1615,207,74,high_poverty
600,49,18,low_poverty
1834,56,63,low_poverty
1605,109,43,low_poverty
1041,27,10,low_poverty
447,9,18,low_poverty
556,25,0,low_poverty
636,48,30,low_poverty
1107,183,190,high_poverty
603,33,10,low_poverty
886,0,40,low_poverty
1337,91,229,low_poverty
1075,145,125,high_poverty
1071,39,129,low_poverty
1416,39,86,low_poverty
2717,0,102,low_poverty
1471,18,154,low_poverty
1603,7,58,low_poverty
2922,40,20,low_poverty
3675,200,252,low_poverty
3266,83,276,low_poverty
2695,134,580,high_poverty
3491,204,811,high_poverty
1911,22,187,low_poverty
3429,343,2,high_poverty
1613,360,294,high_poverty
1569,223,68,low_poverty
4344,372,71,low_poverty
3677,387,285,low_poverty
5677,748,356,low_poverty
1660,35,387,low_poverty
0,0,0,low_poverty
1732,115,69,high_poverty
1360,81,58,low_poverty
1082,36,19,low_poverty
852,62,45,low_poverty
1186,12,289,high_poverty
1133,23,165,high_poverty
1050,344,98,low_poverty
1409,131,315,high_poverty
946,24,82,high_poverty
1286,93,203,high_poverty
2835,42,328,low_poverty
1131,42,83,high_poverty
2361,345,183,high_poverty
3061,269,327,high_poverty
3015,10,853,high_poverty
2201,0,21,low_poverty
2630,51,238,low_poverty
3532,32,119,low_poverty
2363,0,36,low_poverty
1615,17,203,low_poverty
2864,22,78,low_poverty
3267,207,148,high_poverty
4278,134,34,low_poverty
4099,103,165,low_poverty
365,20,21,high_poverty
3085,0,34,low_poverty
2094,246,215,high_poverty
2897,284,369,high_poverty
1630,36,23,low_poverty
2661,128,130,low_poverty
1111,36,48,high_poverty
1624,29,84,high_poverty
2431,247,181,low_poverty
2787,76,234,low_poverty
1239,99,26,low_poverty
3032,122,130,high_poverty
2539,95,125,high_poverty
574,58,63,low_poverty
4141,181,430,high_poverty
2657,331,102,low_poverty
2098,8,94,low_poverty
3654,0,72,low_poverty
1736,12,0,low_poverty
1428,0,0,low_poverty
2623,37,117,low_poverty
1963,258,145,high_poverty
3232,132,24,low_poverty
2049,134,273,high_poverty
3341,112,85,high_poverty
3380,194,119,low_poverty
3146,165,288,high_poverty
3648,375,301,high_poverty
2580,55,142,high_poverty
2667,64,52,high_poverty
1886,176,129,high_poverty
2500,262,248,high_poverty
1055,11,34,high_poverty
546,156,0,high_poverty
3631,393,103,high_poverty
1544,48,211,high_poverty
2138,49,73,low_poverty
2100,76,263,high_poverty
1090,0,29,low_poverty
1358,52,12,low_poverty
1336,135,283,high_poverty
991,116,83,high_poverty
2142,463,434,high_poverty
2800,482,461,high_poverty
3030,535,268,high_poverty
1538,0,0,low_poverty
2332,30,22,low_poverty
2400,110,118,high_poverty
1446,232,333,high_poverty
1403,77,366,high_poverty
2276,120,127,high_poverty
1293,96,30,low_poverty
1055,7,91,high_poverty
1136,23,170,high_poverty
1288,211,64,low_poverty
1720,208,205,low_poverty
2735,118,97,low_poverty
1567,25,194,low_poverty
951,65,112,low_poverty
2471,211,205,low_poverty
2300,35,83,low_poverty
2857,247,11,low_poverty
769,14,0,low_poverty
758,41,9,low_poverty
2262,127,128,low_poverty
429,19,48,high_poverty
1721,319,155,high_poverty
2373,719,445,high_poverty
1424,150,419,high_poverty
1763,98,428,high_poverty
2340,295,559,high_poverty
1364,105,201,high_poverty
1496,0,220,high_poverty
791,203,93,high_poverty
1374,120,298,high_poverty
1855,531,522,high_poverty
672,42,0,high_poverty
920,101,124,high_poverty
1176,77,117,low_poverty
799,0,16,low_poverty
679,277,93,low_poverty
2908,319,184,high_poverty
1352,339,82,high_poverty
1183,160,407,high_poverty
2240,59,69,high_poverty
1125,52,132,high_poverty
1079,25,179,low_poverty
316,23,9,low_poverty
1684,19,124,low_poverty
2134,201,251,high_poverty
1627,157,171,low_poverty
2118,137,635,high_poverty
3746,319,405,high_poverty
576,4,29,low_poverty
3055,717,373,high_poverty
1630,78,89,high_poverty
2002,103,22,low_poverty
1656,57,135,high_poverty
636,70,24,low_poverty
990,103,30,low_poverty
1730,248,40,low_poverty
1204,79,119,high_poverty
1084,38,51,high_poverty
909,36,62,low_poverty
2081,215,241,high_poverty
1334,30,194,high_poverty
1371,86,9,low_poverty
2037,161,75,low_poverty
792,177,37,high_poverty
1213,11,310,high_poverty
729,38,124,high_poverty
2160,56,38,low_poverty
1755,97,0,high_poverty
1857,99,74,high_poverty
1924,115,159,low_poverty
1386,62,3,low_poverty
2927,94,240,low_poverty
1357,79,347,high_poverty
3229,31,270,high_poverty
1903,0,34,low_poverty
856,25,3,low_poverty
1273,55,85,low_poverty
2602,47,43,low_poverty
2297,108,237,high_poverty
3056,98,23,low_poverty
2840,188,351,high_poverty
2124,347,523,low_poverty
2142,359,341,high_poverty
1055,109,163,high_poverty
1155,58,89,low_poverty
2373,180,122,low_poverty
1819,0,64,high_poverty
2305,161,8,low_poverty
1631,265,83,high_poverty
1035,43,222,high_poverty
1213,0,9,low_poverty
1610,26,108,high_poverty
2156,221,101,low_poverty
1625,92,21,low_poverty
1204,0,219,low_poverty
1952,159,96,low_poverty
998,18,62,low_poverty
403,9,0,low_poverty
2318,35,218,low_poverty
2033,112,91,low_poverty
2442,157,31,low_poverty
4166,145,756,high_poverty
2720,670,154,high_poverty
2793,214,535,high_poverty
1528,166,78,high_poverty
2763,492,202,high_poverty
1649,18,4,low_poverty
1840,171,136,low_poverty
2345,191,121,high_poverty
3141,103,194,low_poverty
3339,4,124,low_poverty
989,88,56,high_poverty
2692,20,17,low_poverty
2983,440,299,high_poverty
1998,23,18,low_poverty
3316,74,146,low_poverty
2440,21,210,low_poverty
1496,0,32,low_poverty
2241,47,84,low_poverty
1603,68,18,low_poverty
15225,569,965,low_poverty
2507,36,107,low_poverty
2899,65,30,low_poverty
1880,24,99,low_poverty
597,160,11,low_poverty
2176,0,0,low_poverty
1736,0,0,low_poverty
3047,90,348,low_poverty
2092,273,111,low_poverty
1675,8,152,low_poverty
3140,51,206,low_poverty
3238,71,22,low_poverty
1848,63,0,low_poverty
2042,17,47,low_poverty
608,0,16,low_poverty
894,182,127,low_poverty
1054,405,90,high_poverty
1353,203,197,high_poverty
2086,122,190,high_poverty
2681,213,184,high_poverty
2285,33,270,low_poverty
1269,0,65,low_poverty
1280,157,10,low_poverty
1844,65,53,low_poverty
830,42,163,low_poverty
1881,13,240,high_poverty
1487,119,92,high_poverty
2285,501,477,high_poverty
2764,291,406,high_poverty
1490,110,47,low_poverty
1425,128,383,high_poverty
4916,116,453,low_poverty
839,75,187,low_poverty
1476,23,0,low_poverty
1768,49,87,low_poverty
962,2,23,low_poverty
2253,298,62,high_poverty
1208,97,214,high_poverty
2010,188,361,low_poverty
1932,0,237,high_poverty
1624,398,56,high_poverty
818,10,27,low_poverty
2250,59,129,low_poverty
799,48,32,low_poverty
2762,72,224,low_poverty
896,28,13,high_poverty
990,49,104,high_poverty
824,99,120,high_poverty
1262,216,216,high_poverty
3019,190,100,high_poverty
2266,143,21,low_poverty
1530,121,21,low_poverty
1202,74,51,high_poverty
1635,10,5,low_poverty
3043,71,155,low_poverty
3300,188,387,low_poverty
3036,28,203,low_poverty
477,0,79,low_poverty
9085,59,218,low_poverty
1543,72,354,high_poverty
1548,104,218,high_poverty
1471,84,0,low_poverty
1008,0,0,low_poverty
1494,0,0,low_poverty
4022,13,142,low_poverty
1852,285,115,high_poverty
1871,111,109,low_poverty
1623,95,164,low_poverty
688,165,113,high_poverty
7940,255,208,low_poverty
2108,16,217,low_poverty
3297,76,445,low_poverty
1889,303,260,low_poverty
1978,268,44,high_poverty
1003,143,123,low_poverty
702,17,83,low_poverty
1924,81,262,low_poverty
712,44,72,high_poverty
1178,151,185,low_poverty
1065,80,244,low_poverty
1977,68,208,low_poverty
733,16,13,low_poverty
1442,136,360,high_poverty
732,0,0,low_poverty
1159,214,74,high_poverty
2969,139,330,low_poverty
3107,101,272,low_poverty
991,53,42,low_poverty
2054,23,30,low_poverty
962,44,0,low_poverty
1647,77,55,low_poverty
909,44,0,low_poverty
1918,32,167,high_poverty
1755,149,217,low_poverty
1184,0,0,low_poverty
2534,53,144,low_poverty
1604,15,77,low_poverty
1184,73,281,low_poverty
1393,13,431,high_poverty
2379,327,266,high_poverty
2104,65,64,low_poverty
1746,78,59,low_poverty
1992,109,0,low_poverty
2361,222,453,low_poverty
755,39,23,low_poverty
540,9,0,low_poverty
674,25,36,low_poverty
1718,29,115,low_poverty
1337,254,18,low_poverty
1734,184,123,low_poverty
1114,66,46,low_poverty
946,62,283,high_poverty
3046,225,206,low_poverty
4028,67,429,low_poverty
1471,0,302,low_poverty
1749,168,415,low_poverty
1343,0,290,low_poverty
1492,82,141,low_poverty
5563,120,733,low_poverty
2027,112,310,low_poverty
1186,184,83,low_poverty
843,37,75,high_poverty
3015,399,653,high_poverty
967,48,18,low_poverty
2854,60,274,low_poverty
3966,232,137,low_poverty
2375,344,328,low_poverty
2296,252,161,high_poverty
2921,147,153,low_poverty
1244,250,180,high_poverty
2086,77,178,low_poverty
941,46,52,low_poverty
1022,60,273,low_poverty
942,0,0,low_poverty
1062,90,48,low_poverty
1593,143,150,low_poverty
2487,191,314,low_poverty
2029,155,126,high_poverty
1126,98,113,low_poverty
1714,31,200,low_poverty
1617,41,241,low_poverty
1765,25,0,low_poverty
1551,33,105,low_poverty
498,73,21,low_poverty
2968,219,713,low_poverty
2381,277,382,high_poverty
12213,305,597,low_poverty
4594,81,294,low_poverty
12714,887,328,low_poverty
2532,75,103,high_poverty
1310,14,0,low_poverty
3053,67,114,low_poverty
3910,193,0,low_poverty
2825,18,0,low_poverty
3203,126,367,low_poverty
912,292,129,high_poverty
1400,15,107,low_poverty
1367,0,28,low_poverty
1237,13,112,high_poverty
1375,77,56,low_poverty
2045,259,288,low_poverty
5883,226,112,low_poverty
2978,14,111,low_poverty
2033,242,122,high_poverty
1347,79,118,low_poverty
889,29,9,low_poverty
919,35,29,low_poverty
541,19,25,low_poverty
424,0,10,low_poverty
2666,87,86,low_poverty
1568,128,0,low_poverty
985,44,33,high_poverty
666,34,15,low_poverty
1677,107,23,low_poverty
440,0,0,low_poverty
1016,53,92,high_poverty
1212,84,175,high_poverty
1558,68,202,low_poverty
582,0,0,low_poverty
713,0,10,low_poverty
1563,78,102,low_poverty
961,22,32,high_poverty
379,0,45,low_poverty
3509,272,43,low_poverty
1531,29,17,low_poverty
2150,99,7,low_poverty
345,24,0,low_poverty
2423,426,362,high_poverty
1729,97,42,high_poverty
2515,135,445,low_poverty
1863,25,199,low_poverty
938,35,98,low_poverty
3894,391,894,high_poverty
3534,479,284,high_poverty
1371,154,0,high_poverty
1703,31,112,low_poverty
1841,46,78,low_poverty
1755,68,33,low_poverty
937,0,116,low_poverty
1943,87,140,low_poverty
1678,243,284,high_poverty
1366,236,159,low_poverty
1671,89,89,low_poverty
3062,795,460,high_poverty
3121,255,75,high_poverty
1004,32,0,low_poverty
744,22,67,low_poverty
1565,92,82,high_poverty
1404,167,23,low_poverty
873,0,0,low_poverty
1179,60,0,low_poverty
442,0,42,low_poverty
1855,138,355,high_poverty
1184,47,58,low_poverty
1052,19,75,low_poverty
1644,62,371,high_poverty
1447,161,210,high_poverty
1409,270,0,high_poverty
2803,183,151,low_poverty
2130,125,62,low_poverty
1837,238,38,low_poverty
1353,0,76,low_poverty
555,45,9,low_poverty
820,3,4,low_poverty
406,6,0,low_poverty
2126,53,35,low_poverty
1005,140,103,high_poverty
946,44,9,high_poverty
6682,239,538,high_poverty
8794,212,517,low_poverty
4361,390,1116,high_poverty
1561,265,646,high_poverty
1327,52,7,low_poverty
807,53,274,high_poverty
1315,42,132,high_poverty
632,16,265,high_poverty
748,102,52,low_poverty
1328,88,77,low_poverty
813,129,99,low_poverty
1389,78,435,high_poverty
511,6,45,low_poverty
3344,357,955,high_poverty
872,36,244,low_poverty
2089,273,201,low_poverty
855,76,115,low_poverty
1896,103,199,low_poverty
982,74,317,low_poverty
1636,97,248,low_poverty
1206,52,66,low_poverty
1467,0,101,low_poverty
338,31,152,high_poverty
545,376,83,high_poverty
609,50,285,high_poverty
510,28,83,low_poverty
952,353,5,high_poverty
551,122,286,high_poverty
912,251,171,high_poverty
593,0,37,high_poverty
573,41,156,high_poverty
1889,377,749,high_poverty
871,546,101,high_poverty
891,158,57,low_poverty
1126,16,153,high_poverty
1161,5,34,low_poverty
571,0,0,low_poverty
805,62,65,low_poverty
1360,190,293,high_poverty
629,149,332,high_poverty
1388,258,344,high_poverty
1334,305,213,high_poverty
799,40,49,high_poverty
1046,58,403,high_poverty
1162,364,496,high_poverty
316,42,59,high_poverty
469,214,37,high_poverty
1393,354,268,high_poverty
1947,38,13,low_poverty
1439,30,17,low_poverty
1875,37,318,high_poverty
1020,283,101,high_poverty
5480,416,267,low_poverty
1436,21,0,high_poverty
3264,76,123,low_poverty
2786,235,70,high_poverty
1573,129,123,low_poverty
2023,65,281,low_poverty
1540,53,393,low_poverty
1762,118,497,high_poverty
1451,70,328,high_poverty
816,20,96,low_poverty
2331,373,382,high_poverty
1800,223,29,high_poverty
1529,778,223,high_poverty
1649,142,340,high_poverty
1003,306,132,high_poverty
1088,96,32,high_poverty
490,0,72,low_poverty
1428,42,39,high_poverty
2175,9,537,low_poverty
4733,401,326,low_poverty
2023,471,120,high_poverty
1126,261,59,low_poverty
2890,736,662,high_poverty
741,25,74,low_poverty
778,128,140,low_poverty
425,18,0,low_poverty
1857,20,53,low_poverty
1427,75,18,low_poverty
1232,23,41,low_poverty
4252,598,507,low_poverty
1055,6,0,low_poverty
1036,13,106,low_poverty
945,19,0,low_poverty
1723,0,107,low_poverty
1378,152,308,high_poverty
4073,106,441,low_poverty
1037,337,154,high_poverty
1867,302,392,low_poverty
1656,193,359,high_poverty
1862,135,732,high_poverty
1985,525,113,low_poverty
2135,130,275,low_poverty
2216,126,104,high_poverty
1037,99,0,low_poverty
5416,561,273,low_poverty
2536,355,437,low_poverty
2878,20,564,low_poverty
884,88,0,low_poverty
6309,186,193,low_poverty
1090,62,1,low_poverty
2958,9,573,low_poverty
0,0,0,low_poverty
2446,31,32,low_poverty
1160,56,207,high_poverty
1434,175,45,low_poverty
854,0,0,low_poverty
695,12,0,low_poverty
1019,118,40,high_poverty
1770,0,263,low_poverty
1137,31,0,low_poverty
452,55,0,low_poverty
613,0,0,low_poverty
2095,58,43,low_poverty
4407,25,62,low_poverty
1704,37,32,low_poverty
1918,230,67,low_poverty
1426,273,35,low_poverty
1769,83,15,low_poverty
683,46,0,low_poverty
2089,103,355,low_poverty
1248,21,35,low_poverty
1543,184,148,high_poverty
1447,33,95,low_poverty
1318,46,67,low_poverty
788,89,104,high_poverty
762,25,286,low_poverty
762,27,50,high_poverty
2205,290,336,high_poverty
1159,224,72,low_poverty
2347,178,200,low_poverty
773,146,84,low_poverty
2748,397,312,high_poverty
1122,69,280,high_poverty
1289,386,59,high_poverty
984,0,24,low_poverty
2041,22,278,high_poverty
2567,161,125,low_poverty
2089,557,29,low_poverty
2599,239,455,low_poverty
1263,367,163,low_poverty
776,0,0,low_poverty
1295,14,53,low_poverty
2322,68,375,low_poverty
2102,39,61,low_poverty
2771,332,358,low_poverty
3134,399,371,high_poverty
2046,117,76,low_poverty
1635,71,94,low_poverty
2173,25,108,low_poverty
3310,217,116,low_poverty
2256,44,93,low_poverty
887,34,8,low_poverty
845,10,14,low_poverty
2929,13,34,low_poverty
4883,80,110,low_poverty
1958,99,320,high_poverty
1780,107,265,low_poverty
820,64,13,low_poverty
1867,440,345,high_poverty
316,7,0,high_poverty
1156,449,125,high_poverty
159,58,48,high_poverty
1119,320,86,high_poverty
1042,389,117,high_poverty
1097,41,14,low_poverty
687,64,31,high_poverty
614,23,2,low_poverty
577,35,26,low_poverty
911,86,343,high_poverty
852,0,0,low_poverty
297,15,13,low_poverty
1366,12,2,low_poverty
2327,214,413,high_poverty
2481,195,118,high_poverty
585,18,84,high_poverty
536,27,248,high_poverty
