GEOID,C17002e1,C17002e2,C17002e3,poverty
15000US100030136113,1156,38,0,low_poverty
15000US100030136121,2539,4,0,low_poverty
15000US100030137001,957,47,20,low_poverty
15000US100030137002,2371,331,260,high_poverty
15000US100030139012,741,5,0,low_poverty
15000US100030139031,3297,37,17,low_poverty
15000US100030139032,1577,19,60,low_poverty
15000US100030139041,3213,78,14,low_poverty
15000US100030139042,1375,87,23,low_poverty
15000US100030139043,467,64,13,low_poverty
15000US100030139044,3045,132,203,low_poverty
15000US100030143002,2050,332,148,low_poverty
15000US100030145011,2005,1216,242,high_poverty
15000US100030145021,2128,1040,355,high_poverty
15000US100030147021,1975,112,13,low_poverty
15000US100030147033,2163,43,150,high_poverty
15000US100030147053,2480,54,54,low_poverty
15000US100030147061,926,18,50,low_poverty
15000US100030148053,2971,0,48,low_poverty
15000US100030148071,1685,7,0,low_poverty
15000US100030148073,2632,97,112,high_poverty
15000US100030148084,701,0,0,low_poverty
15000US100030148103,2186,142,299,low_poverty
15000US100030149031,2542,69,196,low_poverty
15000US100030149091,2215,45,339,high_poverty
15000US100030151002,722,0,47,high_poverty
15000US100030152001,1473,362,212,high_poverty
15000US100030152003,869,18,38,low_poverty
15000US100030155021,1986,214,489,high_poverty
15000US100030155022,862,0,150,low_poverty
15000US100030158022,1603,106,134,low_poverty
15000US100030159003,1357,8,9,low_poverty
15000US100030160001,3157,271,119,high_poverty
15000US100030161001,1058,68,26,low_poverty
15000US100030162001,620,0,22,low_poverty
15000US100030163011,1744,80,63,high_poverty
15000US100030163052,2189,74,0,low_poverty
15000US100030164043,939,11,225,high_poverty
15000US100030166013,5791,127,444,low_poverty
15000US100030166041,2606,168,137,high_poverty
15000US100030166081,2092,54,42,low_poverty
15000US100030166082,2533,9,0,low_poverty
15000US100030168012,1480,97,0,low_poverty
15000US100030168042,634,103,32,low_poverty
15000US100030169012,1053,2,8,low_poverty
15000US100050501011,1719,107,26,low_poverty
15000US100050501012,1772,28,202,low_poverty
15000US100050501032,1753,113,70,low_poverty
15000US100050501042,2459,0,340,low_poverty
15000US100050502002,2787,391,568,high_poverty
15000US100050503011,2000,10,337,low_poverty
15000US100050503012,3225,233,173,low_poverty
15000US100050503013,2469,223,226,high_poverty
15000US100050504011,2282,159,460,low_poverty
15000US100050504051,1653,24,31,low_poverty
15000US100050504061,1022,80,153,low_poverty
15000US100050504071,1440,140,39,high_poverty
15000US100050506012,1864,87,208,low_poverty
15000US100050507041,1652,84,31,low_poverty
15000US100050507051,1749,110,130,low_poverty
15000US100050507061,555,31,16,low_poverty
15000US100050507062,746,15,29,low_poverty
15000US100050508031,919,34,24,low_poverty
15000US100050509021,1491,43,77,low_poverty
15000US100050510031,2323,42,68,low_poverty
15000US100050510051,2678,56,58,low_poverty
15000US100050510071,1396,8,71,low_poverty
15000US100050511031,498,24,6,low_poverty
15000US100050512012,742,21,28,low_poverty
15000US100050512021,682,10,0,low_poverty
15000US100050512032,91,0,5,low_poverty
15000US100050512043,75,0,0,low_poverty
15000US100050512051,249,0,0,low_poverty
15000US100050513013,1729,31,18,low_poverty
15000US100050513052,476,0,18,low_poverty
15000US100050513062,514,0,43,high_poverty
15000US100050514001,2723,126,275,low_poverty
15000US100050514002,1728,176,129,high_poverty
15000US100050518021,2918,306,482,low_poverty
15000US100050518022,1393,55,148,low_poverty
15000US100050519002,2752,146,313,low_poverty
15000US100059900000,0,0,0,low_poverty
15000US110010001001,1405,52,20,low_poverty
15000US110010002023,887,189,25,low_poverty
15000US110010003002,1479,99,49,low_poverty
15000US110010003004,1953,115,0,low_poverty
15000US110010004001,598,45,11,low_poverty
15000US110010006003,743,50,0,low_poverty
15000US110010009022,1513,9,20,low_poverty
15000US110010010015,921,115,16,low_poverty
15000US110010010021,1259,708,128,high_poverty
15000US110010010022,1444,52,51,low_poverty
15000US110010010023,812,0,28,low_poverty
15000US110010011004,549,5,16,low_poverty
15000US110010012001,2121,71,16,low_poverty
15000US110010013011,1811,98,112,low_poverty
15000US110010013021,2375,154,120,low_poverty
15000US110010013022,4685,185,123,low_poverty
15000US110010013023,736,192,0,low_poverty
15000US110010014022,825,0,34,low_poverty
15000US110010014023,1479,184,61,low_poverty
15000US110010015005,1047,32,0,low_poverty
15000US110010016004,1871,0,23,low_poverty
15000US110010017022,1127,50,36,low_poverty
15000US110010018031,1371,35,115,low_poverty
15000US110010018032,2559,81,163,high_poverty
15000US110010019013,830,86,18,low_poverty
15000US110010019021,1560,28,168,low_poverty
15000US110010019022,679,18,9,low_poverty
15000US110010021012,975,21,235,low_poverty
15000US110010021015,1235,359,0,high_poverty
15000US110010021024,802,204,7,high_poverty
15000US110010021026,625,79,91,high_poverty
15000US110010022022,1090,248,47,high_poverty
15000US110010023012,2031,56,295,low_poverty
15000US110010024003,1129,292,30,high_poverty
15000US110010025012,1508,46,149,low_poverty
15000US110010025021,1118,77,128,high_poverty
15000US110010025023,2062,59,9,high_poverty
15000US110010027013,826,11,0,low_poverty
15000US110010027021,1964,72,108,low_poverty
15000US110010029002,2588,197,50,high_poverty
15000US110010032002,923,37,113,high_poverty
15000US110010033012,1159,6,82,low_poverty
15000US110010033022,985,104,29,low_poverty
15000US110010036001,1756,1,107,high_poverty
15000US110010037001,1618,34,183,high_poverty
15000US110010037003,1717,13,246,high_poverty
15000US110010038001,2521,163,96,low_poverty
15000US110010039003,1190,50,26,low_poverty
15000US110010040011,1434,44,22,low_poverty
15000US110010040013,1911,34,14,low_poverty
15000US110010040021,539,4,28,low_poverty
15000US110010040022,1590,6,31,low_poverty
15000US110010041001,1251,13,13,low_poverty
15000US110010044001,3447,175,264,low_poverty
15000US110010046002,1656,82,0,low_poverty
15000US110010047012,2772,493,324,high_poverty
15000US110010047021,2038,237,118,high_poverty
15000US110010048011,2131,39,212,low_poverty
15000US110010048022,2070,289,371,high_poverty
15000US110010049011,1358,179,302,high_poverty
15000US110010049021,701,78,158,high_poverty
15000US110010049022,2046,64,111,low_poverty
15000US110010050023,1263,14,395,low_poverty
15000US110010055002,2296,178,56,low_poverty
15000US110010055003,1837,306,44,low_poverty
15000US110010055004,839,199,0,low_poverty
15000US110010055005,646,150,0,low_poverty
15000US110010056004,1045,193,54,high_poverty
15000US110010058002,1809,239,122,low_poverty
15000US110010059001,2728,282,213,high_poverty
15000US110010065001,959,55,47,low_poverty
15000US110010066001,1932,30,58,low_poverty
15000US110010067003,1432,30,44,low_poverty
15000US110010068011,1327,194,65,high_poverty
15000US110010068021,783,21,26,low_poverty
15000US110010068041,120,91,23,low_poverty
15000US110010070002,923,30,33,low_poverty
15000US110010072001,3109,95,146,low_poverty
15000US110010072002,890,25,139,high_poverty
15000US110010074011,1340,417,336,high_poverty
15000US110010074062,924,319,291,high_poverty
15000US110010075021,3186,842,1019,high_poverty
15000US110010075022,1814,818,169,high_poverty
15000US110010075031,744,152,65,high_poverty
15000US110010075032,1868,357,656,high_poverty
15000US110010076011,538,0,101,high_poverty
15000US110010076013,1483,116,144,high_poverty
15000US110010076041,977,117,46,high_poverty
15000US110010076043,1191,97,133,high_poverty
15000US110010076051,776,30,37,high_poverty
15000US110010076052,2238,193,370,high_poverty
15000US110010078061,1002,112,143,high_poverty
15000US110010078062,1108,49,188,high_poverty
15000US110010078072,846,84,45,high_poverty
15000US110010078081,2406,372,301,high_poverty
15000US110010078082,888,42,260,high_poverty
15000US110010078091,1631,271,107,high_poverty
15000US110010079013,1567,183,191,high_poverty
15000US110010079014,1008,157,174,high_poverty
15000US110010080012,1143,46,35,low_poverty
15000US110010081001,731,0,0,low_poverty
15000US110010082001,628,12,0,low_poverty
15000US110010084021,1005,39,0,high_poverty
15000US110010088041,1021,45,82,high_poverty
15000US110010089032,1280,211,273,high_poverty
15000US110010089041,2097,267,233,high_poverty
15000US110010089042,1036,82,178,high_poverty
15000US110010092011,1518,200,115,high_poverty
15000US110010092041,861,121,37,high_poverty
15000US110010092042,2102,415,620,high_poverty
15000US110010093012,891,29,24,low_poverty
15000US110010093021,1025,2,24,low_poverty
15000US110010094001,626,24,0,low_poverty
15000US110010094003,1699,229,243,low_poverty
15000US110010095052,928,11,51,low_poverty
15000US110010095053,941,58,117,low_poverty
15000US110010095083,1427,73,34,high_poverty
15000US110010096022,1632,177,430,high_poverty
15000US110010096031,1494,98,210,high_poverty
15000US110010096032,406,0,11,low_poverty
15000US110010096041,1092,64,90,high_poverty
15000US110010097001,2351,422,333,high_poverty
15000US110010097002,670,22,186,high_poverty
15000US110010098033,885,123,210,high_poverty
15000US110010098041,1560,180,319,high_poverty
15000US110010098072,2389,392,231,high_poverty
15000US110010099022,1706,357,117,high_poverty
15000US110010099041,585,153,66,high_poverty
15000US110010099042,1559,494,104,high_poverty
15000US110010099071,747,233,21,high_poverty
15000US110010101001,1654,119,139,low_poverty
15000US110010102001,1043,13,69,low_poverty
15000US110010103002,1221,66,15,low_poverty
15000US110010103003,1304,316,202,low_poverty
15000US110010106002,3281,423,101,low_poverty
15000US110010107001,763,240,7,low_poverty
15000US110010108001,206,41,2,high_poverty
15000US110010109001,1953,613,308,high_poverty
15000US110010110002,581,18,26,low_poverty
15000US120010003011,1555,333,196,high_poverty
15000US120010003023,1312,189,118,low_poverty
15000US120010004001,955,439,124,high_poverty
15000US120010004002,965,62,51,low_poverty
15000US120010005002,718,66,64,high_poverty
15000US120010007001,555,0,70,high_poverty
15000US120010007004,2081,201,300,high_poverty
15000US120010008061,1887,641,285,high_poverty
15000US120010008082,824,130,106,high_poverty
15000US120010010001,740,63,74,low_poverty
15000US120010010002,1297,569,220,high_poverty
15000US120010010004,1894,833,179,high_poverty
15000US120010011003,1809,69,12,low_poverty
15000US120010011004,1799,37,28,low_poverty
15000US120010012031,1846,224,300,low_poverty
15000US120010012032,1867,458,140,high_poverty
15000US120010014002,785,71,197,high_poverty
15000US120010014003,540,109,150,high_poverty
15000US120010015141,797,212,107,high_poverty
15000US120010015161,1271,372,257,high_poverty
15000US120010015171,3740,2247,305,high_poverty
15000US120010016041,2336,745,191,high_poverty
15000US120010016042,664,65,19,low_poverty
15000US120010017011,2245,40,26,low_poverty
15000US120010018015,1179,22,44,low_poverty
15000US120010018062,3672,84,360,low_poverty
15000US120010019071,1169,79,138,low_poverty
15000US120010019073,910,154,175,low_poverty
15000US120010019083,1024,79,9,low_poverty
15000US120010019084,894,168,44,low_poverty
15000US120010020003,840,264,31,high_poverty
15000US120010020004,656,0,143,low_poverty
15000US120010021012,691,36,17,low_poverty
15000US120010022012,3631,110,211,low_poverty
15000US120010022052,2022,12,0,low_poverty
15000US120010022054,2536,361,93,low_poverty
15000US120010022091,5494,201,178,low_poverty
15000US120010022103,1873,343,226,low_poverty
15000US120010022182,1214,150,211,low_poverty
15000US120010022191,1952,168,115,high_poverty
15000US120011108001,2091,307,274,low_poverty
15000US120030401022,2378,186,641,high_poverty
15000US120030401023,1349,0,82,low_poverty
15000US120030402013,578,0,57,high_poverty
15000US120050003001,1144,168,165,high_poverty
15000US120050003002,1103,67,253,low_poverty
15000US120050003003,2434,31,76,low_poverty
15000US120050003004,2137,87,534,low_poverty
15000US120050005001,4027,99,103,low_poverty
15000US120050006001,1402,79,184,low_poverty
15000US120050008031,972,72,236,low_poverty
15000US120050008051,2240,115,242,low_poverty
15000US120050008061,2200,63,230,low_poverty
15000US120050012002,1345,64,45,high_poverty
15000US120050013022,1773,0,287,low_poverty
15000US120050013023,1258,54,19,low_poverty
15000US120050014022,3042,130,4,low_poverty
15000US120050014031,1354,54,75,low_poverty
15000US120050014032,970,83,219,high_poverty
15000US120050014042,907,0,74,low_poverty
15000US120050015011,2744,83,61,low_poverty
15000US120050015023,1582,51,232,high_poverty
15000US120050015024,1443,0,0,low_poverty
15000US120050019002,1184,70,50,low_poverty
15000US120050022001,1488,571,313,high_poverty
15000US120050026031,2435,232,174,high_poverty
15000US120050026041,878,79,133,low_poverty
15000US120050026042,3490,19,184,low_poverty
15000US120050026043,1950,54,93,low_poverty
15000US120050026051,361,17,25,low_poverty
15000US120050026052,676,63,47,low_poverty
15000US120050027011,2602,122,171,low_poverty
15000US120050027022,860,25,33,low_poverty
15000US120050027042,1731,45,137,low_poverty
15000US120050027053,300,11,14,low_poverty
15000US120070002002,1285,60,116,low_poverty
15000US120070002005,988,122,110,low_poverty
15000US120070003001,2104,84,310,low_poverty
15000US120070004002,1198,154,180,low_poverty
15000US120090601012,1760,93,139,high_poverty
15000US120090601013,789,161,300,low_poverty
15000US120090604003,857,76,43,low_poverty
15000US120090604004,1178,233,81,low_poverty
15000US120090606002,1917,163,180,high_poverty
15000US120090607001,1231,302,334,high_poverty
15000US120090611002,948,69,60,low_poverty
15000US120090612023,926,24,97,low_poverty
15000US120090621041,3073,62,289,low_poverty
15000US120090621042,1778,268,42,low_poverty
15000US120090621043,1834,65,42,low_poverty
15000US120090621062,1034,90,19,high_poverty
15000US120090621072,1307,184,136,high_poverty
15000US120090621083,1579,86,32,low_poverty
15000US120090621092,854,94,29,high_poverty
15000US120090623011,1932,317,227,high_poverty
15000US120090623012,985,53,440,high_poverty
15000US120090624001,1792,66,164,low_poverty
15000US120090624002,1230,144,258,high_poverty
15000US120090624004,1043,284,60,high_poverty
15000US120090625003,1801,333,467,high_poverty
15000US120090626003,1215,391,154,low_poverty
15000US120090628001,738,37,19,low_poverty
15000US120090629002,2344,159,504,low_poverty
15000US120090630001,2589,10,158,low_poverty
15000US120090631021,3915,68,473,low_poverty
15000US120090631053,1741,0,12,low_poverty
15000US120090631073,3603,66,162,low_poverty
15000US120090631074,2227,48,334,low_poverty
15000US120090641242,996,53,42,high_poverty
15000US120090641251,1733,68,10,low_poverty
15000US120090641253,1518,128,147,low_poverty
15000US120090641272,1431,145,52,low_poverty
15000US120090641273,720,43,78,low_poverty
15000US120090641281,7728,50,120,low_poverty
15000US120090641283,1808,0,295,low_poverty
15000US120090642022,671,35,106,high_poverty
15000US120090643011,2516,221,128,high_poverty
15000US120090643012,2716,283,317,low_poverty
15000US120090643021,2453,200,113,low_poverty
15000US120090643023,1926,11,319,high_poverty
15000US120090644001,1564,149,59,low_poverty
15000US120090646013,561,29,48,low_poverty
15000US120090646021,1114,31,16,high_poverty
15000US120090647005,358,41,36,high_poverty
15000US120090648001,1583,101,179,high_poverty
15000US120090649011,1193,22,15,low_poverty
15000US120090649022,758,17,86,high_poverty
15000US120090650213,2570,144,63,high_poverty
15000US120090650221,2755,186,161,low_poverty
15000US120090651212,746,0,0,low_poverty
15000US120090651213,854,26,113,high_poverty
15000US120090651215,1161,117,117,low_poverty
15000US120090651223,1407,202,220,high_poverty
15000US120090651242,1527,223,418,low_poverty
15000US120090652313,1267,88,75,low_poverty
15000US120090652342,1126,47,95,low_poverty
15000US120090652352,1221,76,220,high_poverty
15000US120090652353,1214,28,123,high_poverty
15000US120090652354,1570,144,364,high_poverty
15000US120090661011,1573,20,101,low_poverty
15000US120090661014,1360,7,61,low_poverty
15000US120090662001,715,13,97,high_poverty
15000US120090662002,1892,231,55,low_poverty
15000US120090663013,2029,192,40,low_poverty
15000US120090663023,1119,26,65,low_poverty
15000US120090664002,2113,89,258,low_poverty
15000US120090665001,1484,47,10,low_poverty
15000US120090665003,834,116,20,low_poverty
15000US120090667002,2015,25,32,low_poverty
15000US120090669001,892,0,15,low_poverty
15000US120090669002,1015,265,132,high_poverty
15000US120090681011,1615,207,74,high_poverty
15000US120090681012,600,49,18,low_poverty
15000US120090681021,1834,56,63,low_poverty
15000US120090681022,1605,109,43,low_poverty
15000US120090683001,1041,27,10,low_poverty
15000US120090683002,447,9,18,low_poverty
15000US120090683004,556,25,0,low_poverty
15000US120090684002,636,48,30,low_poverty
15000US120090685022,1107,183,190,high_poverty
15000US120090685023,603,33,10,low_poverty
15000US120090692002,886,0,40,low_poverty
15000US120090697001,1337,91,229,low_poverty
15000US120090698022,1075,145,125,high_poverty
15000US120090699021,1071,39,129,low_poverty
15000US120090711002,1416,39,86,low_poverty
15000US120090712002,2717,0,102,low_poverty
15000US120090712003,1471,18,154,low_poverty
15000US120090713011,1603,7,58,low_poverty
15000US120090713012,2922,40,20,low_poverty
15000US120090713221,3675,200,252,low_poverty
15000US120090713222,3266,83,276,low_poverty
15000US120090713223,2695,134,580,high_poverty
15000US120090713322,3491,204,811,high_poverty
15000US120090713362,1911,22,187,low_poverty
15000US120090713363,3429,343,2,high_poverty
15000US120090713374,1613,360,294,high_poverty
15000US120090713381,1569,223,68,low_poverty
15000US120090713383,4344,372,71,low_poverty
15000US120090713392,3677,387,285,low_poverty
15000US120090713404,5677,748,356,low_poverty
15000US120090714003,1660,35,387,low_poverty
15000US120099801001,0,0,0,low_poverty
15000US120110101021,1732,115,69,high_poverty
15000US120110101031,1360,81,58,low_poverty
15000US120110101042,1082,36,19,low_poverty
15000US120110102001,852,62,45,low_poverty
15000US120110102003,1186,12,289,high_poverty
15000US120110102006,1133,23,165,high_poverty
15000US120110103051,1050,344,98,low_poverty
15000US120110103052,1409,131,315,high_poverty
15000US120110103061,946,24,82,high_poverty
15000US120110103062,1286,93,203,high_poverty
15000US120110104011,2835,42,328,low_poverty
15000US120110104021,1131,42,83,high_poverty
15000US120110104022,2361,345,183,high_poverty
15000US120110104052,3061,269,327,high_poverty
15000US120110104053,3015,10,853,high_poverty
15000US120110104072,2201,0,21,low_poverty
15000US120110105041,2630,51,238,low_poverty
15000US120110106012,3532,32,119,low_poverty
15000US120110106013,2363,0,36,low_poverty
15000US120110106031,1615,17,203,low_poverty
15000US120110106051,2864,22,78,low_poverty
15000US120110106072,3267,207,148,high_poverty
15000US120110106073,4278,134,34,low_poverty
15000US120110106091,4099,103,165,low_poverty
15000US120110106102,365,20,21,high_poverty
15000US120110106122,3085,0,34,low_poverty
15000US120110107011,2094,246,215,high_poverty
15000US120110107023,2897,284,369,high_poverty
15000US120110110001,1630,36,23,low_poverty
15000US120110201011,2661,128,130,low_poverty
15000US120110201013,1111,36,48,high_poverty
15000US120110201032,1624,29,84,high_poverty
15000US120110201041,2431,247,181,low_poverty
15000US120110202041,2787,76,234,low_poverty
15000US120110202061,1239,99,26,low_poverty
15000US120110202071,3032,122,130,high_poverty
15000US120110203022,2539,95,125,high_poverty
15000US120110203112,574,58,63,low_poverty
15000US120110203131,4141,181,430,high_poverty
15000US120110203132,2657,331,102,low_poverty
15000US120110203172,2098,8,94,low_poverty
15000US120110203181,3654,0,72,low_poverty
15000US120110203183,1736,12,0,low_poverty
15000US120110203191,1428,0,0,low_poverty
15000US120110203192,2623,37,117,low_poverty
15000US120110203202,1963,258,145,high_poverty
15000US120110203221,3232,132,24,low_poverty
15000US120110203232,2049,134,273,high_poverty
15000US120110203242,3341,112,85,high_poverty
15000US120110203251,3380,194,119,low_poverty
15000US120110204052,3146,165,288,high_poverty
15000US120110204071,3648,375,301,high_poverty
15000US120110204091,2580,55,142,high_poverty
15000US120110204092,2667,64,52,high_poverty
15000US120110204093,1886,176,129,high_poverty
15000US120110204132,2500,262,248,high_poverty
15000US120110204133,1055,11,34,high_poverty
15000US120110204134,546,156,0,high_poverty
15000US120110204141,3631,393,103,high_poverty
15000US120110204151,1544,48,211,high_poverty
15000US120110204152,2138,49,73,low_poverty
15000US120110205022,2100,76,263,high_poverty
15000US120110301004,1090,0,29,low_poverty
15000US120110302032,1358,52,12,low_poverty
15000US120110303011,1336,135,283,high_poverty
15000US120110303021,991,116,83,high_poverty
15000US120110305001,2142,463,434,high_poverty
15000US120110305002,2800,482,461,high_poverty
15000US120110306002,3030,535,268,high_poverty
15000US120110307022,1538,0,0,low_poverty
15000US120110307042,2332,30,22,low_poverty
15000US120110307052,2400,110,118,high_poverty
15000US120110308011,1446,232,333,high_poverty
15000US120110308012,1403,77,366,high_poverty
15000US120110308022,2276,120,127,high_poverty
15000US120110309022,1293,96,30,low_poverty
15000US120110310012,1055,7,91,high_poverty
15000US120110310022,1136,23,170,high_poverty
15000US120110311012,1288,211,64,low_poverty
15000US120110312042,1720,208,205,low_poverty
15000US120110402041,2735,118,97,low_poverty
15000US120110402053,1567,25,194,low_poverty
15000US120110402061,951,65,112,low_poverty
15000US120110405022,2471,211,205,low_poverty
15000US120110405042,2300,35,83,low_poverty
15000US120110406011,2857,247,11,low_poverty
15000US120110406021,769,14,0,low_poverty
15000US120110406023,758,41,9,low_poverty
15000US120110407011,2262,127,128,low_poverty
15000US120110407012,429,19,48,high_poverty
15000US120110407023,1721,319,155,high_poverty
15000US120110408011,2373,719,445,high_poverty
15000US120110408021,1424,150,419,high_poverty
15000US120110409022,1763,98,428,high_poverty
15000US120110411003,2340,295,559,high_poverty
15000US120110412002,1364,105,201,high_poverty
15000US120110413005,1496,0,220,high_poverty
15000US120110415001,791,203,93,high_poverty
15000US120110416003,1374,120,298,high_poverty
15000US120110417002,1855,531,522,high_poverty
15000US120110418011,672,42,0,high_poverty
15000US120110418012,920,101,124,high_poverty
15000US120110418023,1176,77,117,low_poverty
15000US120110423012,799,0,16,low_poverty
15000US120110423021,679,277,93,low_poverty
15000US120110425003,2908,319,184,high_poverty
15000US120110426003,1352,339,82,high_poverty
15000US120110428002,1183,160,407,high_poverty
15000US120110429002,2240,59,69,high_poverty
15000US120110430021,1125,52,132,high_poverty
15000US120110430026,1079,25,179,low_poverty
15000US120110433015,316,23,9,low_poverty
15000US120110502042,1684,19,124,low_poverty
15000US120110502043,2134,201,251,high_poverty
15000US120110502071,1627,157,171,low_poverty
15000US120110502073,2118,137,635,high_poverty
15000US120110503011,3746,319,405,high_poverty
15000US120110503012,576,4,29,low_poverty
15000US120110503081,3055,717,373,high_poverty
15000US120110503111,1630,78,89,high_poverty
15000US120110504012,2002,103,22,low_poverty
15000US120110504021,1656,57,135,high_poverty
15000US120110505012,636,70,24,low_poverty
15000US120110505021,990,103,30,low_poverty
15000US120110505022,1730,248,40,low_poverty
15000US120110505023,1204,79,119,high_poverty
15000US120110505024,1084,38,51,high_poverty
15000US120110506012,909,36,62,low_poverty
15000US120110507021,2081,215,241,high_poverty
15000US120110509003,1334,30,194,high_poverty
15000US120110510021,1371,86,9,low_poverty
15000US120110601051,2037,161,75,low_poverty
15000US120110601053,792,177,37,high_poverty
15000US120110601054,1213,11,310,high_poverty
15000US120110601072,729,38,124,high_poverty
15000US120110601091,2160,56,38,low_poverty
15000US120110601121,1755,97,0,high_poverty
15000US120110601123,1857,99,74,high_poverty
15000US120110601142,1924,115,159,low_poverty
15000US120110601152,1386,62,3,low_poverty
15000US120110601154,2927,94,240,low_poverty
15000US120110601171,1357,79,347,high_poverty
15000US120110601173,3229,31,270,high_poverty
15000US120110601202,1903,0,34,low_poverty
15000US120110601212,856,25,3,low_poverty
15000US120110601213,1273,55,85,low_poverty
15000US120110601222,2602,47,43,low_poverty
15000US120110601251,2297,108,237,high_poverty
15000US120110601262,3056,98,23,low_poverty
15000US120110601282,2840,188,351,high_poverty
15000US120110602031,2124,347,523,low_poverty
15000US120110602032,2142,359,341,high_poverty
15000US120110602082,1055,109,163,high_poverty
15000US120110602091,1155,58,89,low_poverty
15000US120110602101,2373,180,122,low_poverty
15000US120110602113,1819,0,64,high_poverty
15000US120110602121,2305,161,8,low_poverty
15000US120110603061,1631,265,83,high_poverty
15000US120110605012,1035,43,222,high_poverty
15000US120110605031,1213,0,9,low_poverty
15000US120110605052,1610,26,108,high_poverty
15000US120110606051,2156,221,101,low_poverty
15000US120110606052,1625,92,21,low_poverty
15000US120110607002,1204,0,219,low_poverty
15000US120110608011,1952,159,96,low_poverty
15000US120110608023,998,18,62,low_poverty
15000US120110609003,403,9,0,low_poverty
15000US120110610012,2318,35,218,low_poverty
15000US120110610022,2033,112,91,low_poverty
15000US120110610024,2442,157,31,low_poverty
15000US120110611001,4166,145,756,high_poverty
15000US120110701012,2720,670,154,high_poverty
15000US120110701013,2793,214,535,high_poverty
15000US120110702041,1528,166,78,high_poverty
15000US120110702042,2763,492,202,high_poverty
15000US120110702051,1649,18,4,low_poverty
15000US120110702053,1840,171,136,low_poverty
15000US120110702071,2345,191,121,high_poverty
15000US120110702081,3141,103,194,low_poverty
15000US120110702083,3339,4,124,low_poverty
15000US120110702102,989,88,56,high_poverty
15000US120110703043,2692,20,17,low_poverty
15000US120110703054,2983,440,299,high_poverty
15000US120110703062,1998,23,18,low_poverty
15000US120110703101,3316,74,146,low_poverty
